name	version	require-dev
symfony/polyfill-php81	v1.23.0	-	-
symfony/process	v5.4.0	-	-
symfony/routing	v5.4.0	doctrine/annotations	^1.12
symfony/routing	v5.4.0	psr/log	^1|^2|^3
symfony/routing	v5.4.0	symfony/config	^5.3|^6.0
symfony/routing	v5.4.0	symfony/dependency-injection	^4.4|^5.0|^6.0
symfony/routing	v5.4.0	symfony/expression-language	^4.4|^5.0|^6.0
symfony/routing	v5.4.0	symfony/http-foundation	^4.4|^5.0|^6.0
symfony/routing	v5.4.0	symfony/yaml	^4.4|^5.0|^6.0
symfony/service-contracts	v2.4.1	-	-
symfony/string	v6.0.1	symfony/error-handler	^5.4|^6.0
symfony/string	v6.0.1	symfony/http-client	^5.4|^6.0
symfony/string	v6.0.1	symfony/translation-contracts	^2.0|^3.0
symfony/string	v6.0.1	symfony/var-exporter	^5.4|^6.0
symfony/translation	v6.0.1	psr/log	^1|^2|^3
symfony/translation	v6.0.1	symfony/config	^5.4|^6.0
symfony/translation	v6.0.1	symfony/console	^5.4|^6.0
symfony/translation	v6.0.1	symfony/dependency-injection	^5.4|^6.0
symfony/translation	v6.0.1	symfony/finder	^5.4|^6.0
symfony/translation	v6.0.1	symfony/http-client-contracts	^1.1|^2.0|^3.0
symfony/translation	v6.0.1	symfony/http-kernel	^5.4|^6.0
symfony/translation	v6.0.1	symfony/intl	^5.4|^6.0
symfony/translation	v6.0.1	symfony/polyfill-intl-icu	^1.21
symfony/translation	v6.0.1	symfony/service-contracts	^1.1.2|^2|^3
symfony/translation	v6.0.1	symfony/yaml	^5.4|^6.0
symfony/translation-contracts	v3.0.0	-	-
symfony/var-dumper	v5.4.1	ext-iconv	*
symfony/var-dumper	v5.4.1	symfony/console	^4.4|^5.0|^6.0
symfony/var-dumper	v5.4.1	symfony/process	^4.4|^5.0|^6.0
symfony/var-dumper	v5.4.1	symfony/uid	^5.1|^6.0
symfony/var-dumper	v5.4.1	twig/twig	^2.13|^3.0.4
tijsverkoyen/css-to-inline-styles	2.2.4	phpunit/phpunit	^4.8.35 || ^5.7 || ^6.0 || ^7.5 || ^8.5.21 || ^9.5.10
vlucas/phpdotenv	v5.4.1	bamarni/composer-bin-plugin	^1.4.1
